Frame,Texto Extraído
1,"ts Cw. AR Be Hei Decal Si 72°

Time since last response:

BPS 20sec, 22: OMS

2.8ms Sync: 0, 1ms

ars Ti ans SyncGPU: 0. 3ms
GPUE Poms

“In/Out kbps: 286 UI 7 UDP TRC 8) {Node ¥L]
GDEs Synced: 99 You RVIEW PERFORMANCE

DEFEAT

RANK | NAME

hy | ALLIES

ENEMIES

|
| scorz | ums

| beavis.

WEE), HEALING | DAMAGE

472997"
11,"BPS 20sec, 22: OMS
Fi re 97 458) 52085 2,85 Sync: 0, 1ms
Input EWR BRS cs S73 ars Ti. ans Syncteu: 8: ane
Time since last response: GPU: 15, 8ms

MT_> GPU RT.

“In/Out kbps: 286 UDP /” 57 ube TRe-8)-tHode-%0.}

GDEs Synced: 99 Ys2 RVIEW PERFORMANCE

RANKINGS

- ae © Aggravaciio for iniciada
ye | ALLIES ENEMIES

| Z YH
Viens ‘lire. ne eee bare fy (AG fie Nine oeae ol"
21,"BPS 28sec, 22: Ome
Fi re 97 458) 52085 2,85 Sync: O,1ms
Input EW, KRS RRS cs S73 ars Ti. ans Syncteu: @: ans
Time since last response: GPU: 15. 8ms

MT_> GPU RT.
~In/Out kbps: 286 UDP / 57 ube TRC BI Thode}

GDEs Synced: 99 Ys2 RVIEW PERFORM CE

- ae © Agravaciio fol iniciada
ae | ALLIES ENEMIES

| W444 |

67 @® BPoeAEDaCEp 9,729 (e) 5 27 (°) 472997"
31,"ol es 17 14581 52090 BPS sine) - aece ene)
et CARTE RSLEER G2 arly bab Sines °8aRs

mene SyncGPU: 6, 3ms

Time since last response: GPU: 15,8ms
“In/Out kbps: 286 UDP / 57 USP TRC 8) [Mode x1
GDEs Synced: 99 Ys2 RVIEW PERFORMS CE

. ae @ A gravaciio fol iniciada
hy | ALLIES ENEMIES

| "" YW
rates or [stone errs an evenie | yAco7 eee alent ae

67 @ BPoeAEDacEp 9,729 (e) 5 27 (e) 472997

Sow

= +s
[Esc| Back ©"
41,"BPS 203 c, 22: OMS
Fi Teh 8 45K 52100 2.75 Sync: 0, 3ms
Input EW. KR RRS ce ite S173 ars Ti ins Syncteu: @:3ne
Time since last response: GPU: 15.9ms

MT_> GPU RT
~ In/Out kbps: 286 UDP / 57 ube Tac BI Thode}

GDEs Synced: 99 You RVIEW PERFORMS CE

s ae © A gravaciio fo! iniciada
he | ALLIES ENEMIES

| \GYU
Airs alien [stories terms qallpennis) | yAso7 creme aera

67 @ BPoeAEDacEp 9,729 (e) 5 27 (e) 472997

how

_—- a
[Esc| Back ©"
51,"FPS 30.3 - 33.0ms
ts EM ARERR S 2"" prs"" Li. Sms Synch: 8: ans
Time since last response: GPU: 16.1ms

“In/Out kbps: 286 UDP / 57 ub TRe- BT Thode 21 MT.
GDEs Synced: 99 You RVIEW PERFORMS CE

s ae © A gravaciio fol iniciada
ge | ALLIES ENEMIES

| | \GYMAUE
Aire eve [etorepateerris iallipennis VAs cara ae arte

67 @ BPoeAEDacEp 9,729 (e) 5 27 (e) 472997

Sow

= a
|Esc| Back ©"
61,"a Hes 8 52121 BPS ee . sean ene)
1G Wy ARSE EST ISS arly bab Sines “Saas

""Ti das SyncGPU: 6. 4ms

Time since last response: 12 ms GPU: 16. 6ns
“In/Out Kbps: 264 UDP 7 59 UDP [RC B] [Mode XL]
GDEs synced: 9 YS RVIEW PERFORM.

ae @ A gravaciio fol iniciada
Mit | ALLIES ENEMIES

| (GYM

DEFEAT

Sow

= 7
[esc| Back ©"
71,"ee:13:20)
Input Sate fbelbas ie Heatlilcoude O72

Time since last response: 12 m

BPS snc, 22: OMS

2.8ms Sync: 0, 2ms

ar: Ti 3as SyncGPU: 6. 4ms
CRUE Te. OMS

S.

“In/Out kbps: 264 UDP / 59 UDP [RC B] [Mode XL]

GDEs Synced: 9 Yeu RVIEW PERFORMANCE
ae

— | ALLIES

ENEMIES

‘ @ A gravacao fol iniciada

INK “a NAME _ ‘ie SCORE

|
| KILLS

|
| DEATHS

| |
_y ASSISTS: G HEALING | DAMAGE |

 @ @ » BRoEDaCEp —9,729

MES a ee oe |

st

[Esc] Back ©"
81,"S 30.3 - 33,0ms

EP!
2 Cy ARISES, 2"" pT; Ti ins: SynePu: 8. ans

Time since last response: 13 ms ope Oms.
“In/Out kbps: 264 UDP / 59 UDP [RC B] [Mode XL]

GDEs Synced: 9 Yeu RVIEW PERT ORMEN CE

‘ @ A gravacao fol iniciada

Mii | ALLIES ENEMIES

| | |
Prereccotiairs (cua see amet OA Cece ye |

67 @ BPoeAEDacEp 9,729 (e) 5 27 (e) 472997

MES eS oc |

ow

— a
[Esc| Back ©"
91,"BeRER tS 97 4s 52151 WT; 32cens Sync: 8.2ns
Input iW Aso HEoSeD lcs: S72 RT: 11, ims SynebPl: 0. 3ms
ms MT_> GP

Time since last response: pesos:

“In/Out kbps: 260 UDP / 63 UDP [RC B] [Mode XL]
GDEs Synced: 96 Yeu RVIEW PERFORMANCE - RANKINGS
Ea

See @ A gravagdo fo! iniciada
| ALLIES SMES

|
| DAMAGE |

| | |
RANK | NAME | SCORE | KILLS | DEATHS

67 @ BPo2/ADaCEp 9,729 0 5 27 0 472997
a we. Diaasw «10,040 TOR te oxy 1415 na

Ee |

=

N +H

[Esc] Back ©"
101,"ts ey. ARK BS ildccle S72”

RT:

BPS 28sec, 22: OMS
2,9ms Sync: 0, 1ms
eens SyncGPU: 6. 3ms
PUL PMs

Time since last response: 12 ms
“In/Out Kbps: 260 UDP / 63 UDP [RC B] [Mode XL}
GDEs Synced: 96 You RVIEW PERFORMANCE RANKINGS
F

W Y// | ALLIES

ENEMIES

\NK | NAME _| SCORE

|
| KILL

|
| DEATHS

ISTS | HEALING | DAMAGE |

A gravagaio fol iniciada

-@ @ - BPoeAEDacEp 9,729

i)

5

(e) 472997

binat 13,088

Plinio

4

518

[Esc] Back ©"
111,"ts CW ARISES 2""

Time since last response: 11 ms

BPS snc, 22: OMS

2,8ms Sync: 0, 1ms

ar: Ti. tas SyncGPU: 6, 3ms
GPU Poms

“In/Out kbps: 260 UDP / 63 UDP [RC B] [Mode XL]
PERFO RMAN CE
CA

GDEs Synced: 96 You RVIEW

RANKINGS:

Y ALLIES ENEMIES
| i | \Gyjtiit44y\ | |
RANK | NAME | SCORE | KILLS | DEATHS | W ASSISTS | HEALING | DAMAGE | ie a
67 @ BRoeEDOEb 9,729 5 27 0 472997

518

[Esc] Back ©"
121,"eee)

Typut betehy foray We nctelidcouke S172
Time since last response: 12 ms
“In/Out kbps: 273 Ul RC B] [Mode XL}

RT:

BPS 203 nc, 22: OMS
2.7ms Sync: 0, 3ms
iene SyncGPU: 6, 3ms
GPU ae 7ms

GDEs Synced: 99 Yeu RVIEW

DEFEAT

PERFORM!

RANKINGS

YM), |
| WASSISTS | HEALING | DAMAGE

27 (e) 472997

WUE = ALLIES ENEMIES
RANK | NAME _ t ee SCORE © | wus i uk DEATHS —
[= 67 a BPoe/AEDaCcEp 9,729 i°) 5

Continue

=

a8

[Esc] Back ©"
131,"BRET 97 468; 52191 Bulene Syne. Orne
Input Reich LU R79 Ke Hrosidelilcouke 9.172 rai ms Sync: 0. ams

""Ti Bas SyncGPU: 6. 4ms

Time since last response: 12 ms GPU: 15,9ms
“In/Out kbps: 273 UDP / 58 UDP [RC B] [Mode XL]

SoEs synced; @YERVIEW PERFORMANCE RANKINGS ee
iS
‘ @ Aggravacao fol iniciada
| <=> | ALLIES ENEMIES
| | | YL, | |
RANK ‘a NAME __| score | KILLS | DEATHS | WASSISTS | HEALING | DAMAGE | . a
[(-o- a BPoeAEDoCEp 9,729 0 5 27 0 472997

% 02:30 Continue

=

s18

[Esc] Back ©"
141,"BREE 97 46a 52201 Bue ies 8 Ne
That RetchAl Poss Ee He teddcods S175 pt: Ti 3as Synebeu: 0! ams

Time since last response: 12 ms ein tas
“In/Out kbps: 273 UDP / 58 UDP [RC B] [Mode XL] F 3

SoEs synced; @YERVIEW PERFORM/ . a
a See @ A gravagio fol iniciada
| WUE | ALLIES ENEMIES
| | | YL, | |
RANK | NAME _ | ScoRE | KILLS | DEATHS =| WASSISTS | HEALING | DAMAGE | . a
[= 67 @- BPoeAEDoCEp 9,729 0 5 27 0 472997

DEFEAT

02:30 | Continue

=

518

[Esc] Back ©"
151,"ee

econ
Input SateWOy brE9oz ie Haatelidcoude O72

Time since last response: 12 ms

FPS 30.3 - 33,0ms
MT: 32.7ms Sync: 0,2ms
RT: 11. 2ms syncGPu! 9. 4ms

16, ims
MT_> GPU > RT.

“In/Out kbps: 274 Ul
GDEs synced: 99 YXRVIEW

[RC B] [Mode XL]
PERFO RMAN CE
a

VERS

DE

| © Aggravaciio fol iniciada

| ALLIES ENEMIES
| | | WY) |
CRANK =| NAME _| score | KILLS | DEATHS | W ASSISTS | HEALING | DAMAGE | _ all
3 OS TE Sia a ne
67 @ BPeADOEb 9,729 5 27 0 472097
ar 7 7 ep z ———
72 (@) dreamcatcher 8,845 2 28 = 71680169845

ES Toc |

Continue

a

[15

[Esc] Back ©"
161,"22-19)
Tout Cy ARE Bees D Lecce S72

Time since last response:

RT:

35PS 202 nc, 22: OMS
2.7ms Sync: 0.4ms

""Ti Bas SyncGPU: 6. 4ms
GPU:

i fez ons
MT_> GPU

~ In/Out kbps: 274 UDP 7 61 UDP [RC B] [Mode XL]
Ges synced: OVERVIEW PERFORMANCE RANKINGS

WALI a ALLIES

|
RANK | NAME

ENEMIES

|
| ScoRE

|
| KILLS

| DEATHS | WASSISTS | HEALING | DAMAGE |
67 @ BPeEDaCEb 9,729 0 5 27 0 4729097
48 (@) Glass Cannon’ 17,8852 2 28 1195876681

= .5

[Esc] Back ©"
171,"BPS 202 c, 22: OMS
ae beh 7 52232 2,75 Sync: 0, 3ms
Input WERE Ke rowdelidcouds 9173 ars Ti. 2ns Synceu: @:ane
Time since last response: 12 ms. oe ents Ey

“In/Out kbps: 274 UDP /- 61 UDP [RC B] [Mode XL}

GDEs Synced: 99 You RVIEW PERFORMANCE

m.

RANKINGS

Eo © A gravaciio fol iniciada
iy | ALLIES ENEMIES

| VY
RANK | NAME. | SCORE | KILLS | DEATHS _Yassists | HEALING DAMAGE |

a roc |

Edhilwen left the group.

cw

=
[Esc| Back ©"
181,"aed) FPS 30.3 - 33.1ms

ee:
Typit botchy -LorBra Re Hrcstedidcouke S172 RTs Li ans: Syne¥Pu 8. 4s

Time since last response: 14 ms ode.
“In/Out kbps: 259 UDP / 62 UDP [RC B] [Mode XL] I

GDEs Synced: 96 You RVIEW PERFORMANCE RANKINGS Soe

MEY | ALLIES ENEMIES
SPANK | NAME {scons [ants | veers [passions | meme | pamace |
———— = =
67 @ BPoeAEDacEp 9,729 (°) 5 27 (°) 472997

canal

=

UDERS

2

FEET PT

H02:29 Continue

a18

[Esc] Back ©"
191,"224

ee: 1.
Input SatelWy brEgso fe Heantalidcoude O72

FPS 30,3 - 33,0ms
5ms Sync: 0.4ms

MT: 32.
RT: 11,2ms SyncGPU: 0,4ms
GPU:

15,8ms
PU > RT

Time since last response: 11 ms

“In/Out kbps: 259 Ul RC B] [Mode XL}

PERFORMANCE
a

GDEs Synced: 96 Yeu RVIEW

DEFEAT
M RAUDER

ft
4 DINO

RANKINGS

ENEMIES

ee | ALLIES
|

|
| ScoRE

|
| KILLS

|
| DEATHS

Yt |
W ASSISTS | HEALING | DAMAGE

_RANK | NAME _ . YASS |
67 @ BPoeAEDacEp 9,729 0 5 27 (°) 472997

es BESS Tai
Edhilwen left the group.

Continue

2.5

[Esc] Back ©"
201,"ts ey. AR RBS ildccile S72

Time since last response: 11 ms

36PS,2%s3,¢

2.7ms_ Sync:

ar: Ti tas SyncGPU:
GPU:

33,1ms
0, 5ms.
0,4ms,
5,8ms

RT

“In/Out kbps: 259 UDP / 62 UDP [RC B] [Mode XL]
GDEs Synced: 96 You RVIEW PERFORMANCE
ae

RANK | NAME

| ALLIES

| | |
| ScoRE | KILLS_—| DEATHS

ENEMIES

Yt 4 |
WASSISTS | HEALING | DAMAGE

67 @ BPoeAEDacEp 9,729 0 5

27

0

a18

[Esc] Back ©"
211,"FPS 30.3 - 33.0ms
ts EN ARIRESELLLT Siu” prs"" Li. ine Synch: 8: ans
Time since last response: 11 ms GPU: 15.7ms

“In/Out kbps: 259 UDP 7 62 UDP [RC B} [Mode XL]
GDEs Synced: 6 You RVIEW

F eS | sper
Milt | ALLIES ENEMIES S

RANK | NAME _ | score | KILLS

67 @ BPoeAEDacEp 9,729 (e) 5 h 27 te) 472997

s18

[Esc] Back ©"
221,"BPS 2c, 22: OMS
Fi beh 7 52272 2,65 Sync: 0,4ms
Input EWR Ke Howdelidcoudks S173 ars Ti. ins Syncteu: @:4ne
Time since last response: 11 ms. GPU: 15. 7ms

“In/Out kbps: 259 UDP / 62 UDP [RC B] [Mode XL}

GDEs Synced: 6 You RVIEW

- BPeAD SED

Mit | ALLIES ENEMIES

| | | |
RANK | NAME | SCORE _| KILLS | DEATHS |

YY, |
i arsante, Reaieate |

67 @ BPoeAEDacEp 9,729 (e) 5 ly 27 (¢) 472997

Ee eee |

Edhitwen left the group. ; : : : Soi Sere : 5 f

02:28 | Continue

EA
a

|A

[Esc] Back ©"
231,"FPS 30,3 - 33.0ms
ts EN ARIRESELLLT Siz” prs"" Li. ine SyneRPOi 8: ans
Time since last response: 11 ms GPU: 15,7ms

“In/Out kbps: 259 UDP 7 62 UDP [RC B} [Mode XL]
GDEs Synced: 69 Yeu RVIEW

— BPeAD SED

iy | ALLIES ENEMIES

| | | |
RANK | NAME | SCORE | KILLS | DEATHS |

Wy |
i erranse, Reieate |

67 @ BPoeAEDocEp 9,729 (e) 5 iy 27 te) 472997

er oe ae ea a
Edhilwen left the group.

02:28 | Continue

A
Pa

=,5

[Esc] Back ©"
241,"ts E59. JURE ole rotelidcouls 172

Time since last response: 11 ms

BPS snc, 22: OMS

2,6ms Sync: 0.4ms

ar: Ti. ins SyncGPU: 6.4ms
GPU ae. 7ms

“In/Out kbps: 259 UDP 7 62 UDP [RC B} [Mode XL]
GDEs Synced: 69 Yeu RVIEW

ae | ALLIES

ENEMIES

- BPeAD OED

RANK | NAME _ | score | KILLS

67 @ BPoeAEDacEp 9,729 (e)

Edhilwen left the group.

ty
ra

s18

[Esc] Back ©"
